species,p_raw,p_adj_stored,p_adj_computed,match
Harpiliopsis spinigera,0.14732350734872943,0.962244841066226,0.962244841066226,TRUE
Caracanthus maculatus,8.479723819505351e-4,0.0169594476390107,0.0169594476390107,TRUE
Periclimenes watamuae,0.108112559372926,0.962244841066226,0.962244841066226,TRUE
Dascyllus flavicaudus,0.12536996210332862,0.962244841066226,0.962244841066226,TRUE
Halichoeres trimaculatus,0.24199734358926017,0.962244841066226,0.962244841066226,TRUE
Calcinus latens,0.07846820668125505,0.962244841066226,0.962244841066226,TRUE
Alpheus lottini,0.3627560053170642,0.962244841066226,0.962244841066226,TRUE
Paragobiodon modestus,0.4709081428169424,0.962244841066226,0.962244841066226,TRUE
Cerithium zebrum,0.6784824355474133,0.962244841066226,0.962244841066226,TRUE
Zafra hahajimana,0.2253166487698179,0.962244841066226,0.962244841066226,TRUE
Apataxia cerithiiformis,0.16375729591943575,0.962244841066226,0.962244841066226,TRUE
Diala albugo,0.7117638189005531,0.962244841066226,0.962244841066226,TRUE
Luniella pugil,0.0134876195025504,0.25626477054845764,0.2562647705484576,TRUE
Alpheus diadema,0.0422542488472355,0.760576479250239,0.760576479250239,TRUE
Diala semistriata,0.8159217829604177,0.962244841066226,0.962244841066226,TRUE
Mitrella moleculina,0.4291240681354752,0.962244841066226,0.962244841066226,TRUE
Strigatella assimilis,0.5484827447074734,0.962244841066226,0.962244841066226,TRUE
Trapezia serenei,0.962244841066226,0.962244841066226,0.962244841066226,TRUE
Stomatolina rubra,0.7585694370923485,0.962244841066226,0.962244841066226,TRUE
Galathea mauritiana,0.2586091535591894,0.962244841066226,0.962244841066226,TRUE
