species,cor_comm_pc1,cor_rda1
Diala albugo,-0.5699267195534844,0.2834244812210624
Diala semistriata,-0.5337938917485581,0.36576527714379553
Dascyllus flavicaudus,0.5305825567980861,-0.21699645553115554
Harpiliopsis spinigera,0.4901094987680333,-0.3386106717618131
Strigatella assimilis,-0.47787714196151176,0.22039013901809293
Periclimenes watamuae,0.47629248503408517,-0.29853234143346846
Fennera chacei,0.47249806777641384,-0.41868735241764077
Dascyllus aruanus,0.44659112493973774,-0.46621469645772257
Apataxia cerithiiformis,-0.432109352602197,0.30192840132357174
Chlorodiella barbata,-0.4233445906785941,0.19807538582737946
Athanas djiboutensis,-0.342125326361007,0.1280742031699822
Cerithium zebrum,-0.28580274881607204,0.11964153777322734
Hargeria rapax,-0.2803591542855236,0.2390848374406024
Galathea mauritiana,-0.18569173682254164,-0.01076228808557199
Trapezia serenei,-0.17323059120330492,0.06830581979433564
Galeropsis monodonta,0.15790798725453353,-0.010851671034334372
Alpheus lottini,-0.11433542069468573,0.10139431266680597
Luniella pugil,-0.0950828102998686,0.27738020015020204
Paragobiodon modestus,-0.09263086002339506,-0.06762839658472627
Synalpheus charon,-0.06080879207190487,0.0463023001321403
Calcinus latens,0.0298019807671685,-0.04338834275846867
